Title,Image,Description,Category,Ingredients,Instructions,Time to cook,Servings,Energy,Protein,Carbohydrates,Fat
Vaniljpaj med bär,https://images.arla.com/recordid/8BE1DC43-772B-4191-B886E9719AB67ACC/vaniljpaj-med-bar.jpg?width=375&height=265&mode=crop&format=jpg,"Söt vaniljpaj som passar till syrliga sensommarbär t ex hjortron, lingon eller vinbär.",Efterrätt,Vetemjöl: 3 dl | Strösocker: 2 msk | Svenskt Smör från Arla®: 125 g | Äggula: 1 | Ägg: 3 | Strösocker: 1½ dl | Vaniljstång: ½ | Arla Köket® Crème fraiche: 2 dl | Vetemjöl: 2 msk | Hjortron: 2 dl | Hjortronsylt: 1 dl,"Hacka ihop mjöl, socker och smör till en grynig massa. Tillsätt äggulan och arbeta ihop till en deg., Tryck ut den i en form med löstagbar kant, ca 24 cm i diameter. Låt vila i kyl 30 min., Sätt ugnen på 200° eller 180° varmluft., Vispa ägg och socker pösigt. Skrapa fröna ur vaniljstången., Rör ihop ingredienserna till fyllningen och häll i paj-formen., Grädda pajen i nedre delen av ugnen ca 35 min. Låt kallna., Blanda bär och sylt och bred ut på pajen.",1 tim 20 min,4,425 kcal,6 g,24 g,6 g
Tunnbrödsrulle,"https://images.arla.com/recordid/0BD2CDDD-D9A1-4DFF-94798F23F74C0EB7/tunnbrodsrulle.jpg?width=375&height=265&mode=crop&crop=(139,0,-139,0)&format=jpg",En mättande och smakrik tunnbrödsrulle med extra chilisting och härligt krisp av gröna äpplen.,"Brunch, Huvudrätt","Smala eller 4 tjocka kryddiga korvar, chorizo eller bratwurst: 8 | Svenskt Smör från Arla® Ekologiskt, till stekning:  | Mjölig potatis: 1 kg | Arla Köket® Matlagningsgrädde: 2½ dl | Salt: 1 tsk | Svartpeppar: 1 krm | Gröna äpplen: 2 | Purjolök: ½ | Arla Köket® Lätt crème fraiche paprika & chili: 2 dl | Arla Köket® Smetana: 1 dl | Rödlök: 1 | Bladpersilja: 20 g | Isbergssallad: ½ | Fyrkantigt mjukt tunnbröd: 4 | Rostad lök: 1 dl","Skala potatisen och skär i bitar. Koka den mjuk i lättsaltat vatten 10–15 min., Häll av vattnet och pressa potatisen genom en purépress eller mosa med en stöt direkt i kastrullen., Värm grädden och rör ner i potatisen. Smaka av med salt och peppar. Rör eller vispa moset luftigt.",45 min,4,924 kcal,34 g,83 g,47 g
Rotfruktssoppa med örtolja,https://images.arla.com/recordid/1E4FD0D9-A86B-4A31-A48E4652C2164628/rotfruktssoppa-med-ortolja.jpg?width=375&height=265&mode=crop&format=jpg,Snälla smaktoner i en värmande vintersoppa. Färskosten gör soppan krämig.,"Huvudrätt, Lunch, Middag",Liten purjolök: 1 | Potatis: 250 g | Morot: 200 g | Palsternacka: 200 g | Kålrötter: 200 g | Arla Köket® Smör- & rapsolja: 2 msk | Vatten: 1 liter | Grönsaksbuljong: 2 tärningar | Arla® Färskost Naturell: 150 g | Salt: 2 krm | Svartpeppar: 1 krm | Hackad bladpersilja: 1 dl | Hackad färsk basilika: 1 dl | Olivolja: 1 dl | Hackad vitlöksklyfta: 1 | Citron: rivet skal och saft av ½ | Salt: 1 krm,"Dela, skölj och strimla purjolöken. Skala potatis och rotfrukter, skär dem i mindre bitar., Fräs purjolök, potatis och rotfrukter i smör-&rapsolja ca 3 min i en stor kastrull. Tillsätt vatten och buljongtärningar., Koka ca 10 min under lock tills allt är mjukt. Tillsätt färskosten och mixa slät. Salta och peppra., Mixa örter, olja, vitlök, citron och salt till en slät örtolja. Ringla örtoljan över soppan.",40 min,4,560 kcal,9 g,41 g,39 g
Mapo tofu,"https://images.arla.com/recordid/7CA7E8EF-904E-4E14-94A05BEF5A7AB0DB/mapo-tofu.jpg?width=375&height=265&mode=crop&crop=(67,0,-211,0)&format=jpg",Mapo tofu är en rätt som kommer från den kinesiska provinsen Sichuan. Maträtten består av krispigt fläskfärs och tofu som serveras i en het sås gjord på  en fermenterad bönpasta vid namn doubanjijang. Har du svårt att hitta pastan går det bra att byta ut den mot sambal oelek och misopasta. Servera din mapo tofu med nykokt ris och broccoli.,Huvudrätt,"Ris: 3½ dl | Sichuanpeppar: 1 msk | Arla Köket® Smör- & rapsolja: 2 msk | Fläskfärs: 250 g | Vitlöksklyftor, finhackad: 2 | Färsk ingefära, riven: 1 msk | Soja: 2 msk | Sesamolja: 1 msk | Doubanjiang bön- och chilipasta, går att byta ut mot sambal oelek och misopasta: 1 dl | Shaoxing, kinesiskt risvin eller mirin: 2 msk | Vatten: 5 dl | Kycklingbuljong: 1 tärning | Tofu, naturell och fast: 400 g | Majsstärkelse: 1 tsk | Salt: 1 krm | Broccoli: 250 g | Salladslökar: 4 | Färsk koriander: 1 kruka","Koka riset enligt anvisningen på förpackningen., Hetta upp en torr stekpanna och rosta sichuanpepparn i ca 3 min. Låt svalna. Mortla pepparn., Hetta upp smör- och rapsolja i en rymlig stek- eller wookpanna. Stek färsen hårt tills gyllene och krispig., Tillsätt vitlök och ingefära och fräs i ca 3 min., Rör i soja, sesamolja, doubanjijang, shaoxing och sichuanpepparn. Fräs i ytterligare 3 min tills nästan all vätska har kokat in., Häll på  vatten och smulad buljong. Låt koka upp., Skär tofun i jämnstora kuber, ca 2x2 cm. Lägg försiktigt ner i pannan och sänk värmen. Låt sjuda ca 10 min., Blanda ut majsstärkelse med lite vatten och rör ner i grytan. Sjud försiktigt till önskad konsistens. Smaka av med salt., Skär broccolin i små buketter. Skiva stammen tunt. Koka broccolin i lättsaltat vatten 6-7 min. Låt rinna av i en sil och vänd sedan ner broccolin i mapo tofun., Servera mapo tofu med nykokt ris, skivad salladslök och hackad koriander.",35 min,4,,,,
Pastagratäng med broccoli,"https://images.arla.com/recordid/D4033A3C-A89B-4150-8C6FD4912D73361A/pastagratang-med-broccoli.jpg?width=375&height=265&mode=crop&crop=(278,0,0,0)&format=jpg","Enkel pastagratäng med broccoli då vardagsmiddagen måste bli klar snabbt. Med  kokt pasta, färdig sås och färdigriven ost går det extra fort och lätt.","Huvudrätt, Kvällsmat, Lunch, Middag, Varmrätt",Kokt pasta t ex penne: 650 g | Broccoli: 250 g | Kelda® Pastasås mild ost: 4 dl | Arla Köket® Riven ost gratäng: 1½ dl | Tomater:  | Blandad grönsallad: ,"Sätt ugnen på 200° eller 180° varmluft., Dela broccolin i mindre bitar och koka den i lättsaltat vatten ca 1 min. Häll av vattnet och spola broccolin i kallt vatten., Lägg pasta och broccoli i en smord ugnssäker form. Häll på såsen och strö över osten. Gratinera i övre delen av ugnen ca 15 min., Servera gärna med en tomat-och grönsallad.",25 min,4,440 kcal,21 g,58 g,12 g
"Sallad med vattenmelon, jordgubbar, oliver och grönpepparost",https://images.arla.com/recordid/95B9523C-2288-4A0C-83454CC65034FDB5/sallad-med-vattenmelon-jordgubbar-och-svarta-oliver.jpg?width=375&height=265&mode=crop&format=jpg,"En smakrik sallad med melon, jordgubbar och mjuk, vit mögelost med smak av grönpeppar. Perfekt till både grillad biff och fläskkarré. Den passar också som förrätt eller lätt lunch toppad med en god vinägrett.","Brunch, Förrätt",Vattenmelon: 400 g | Jordgubbar: ½ liter | Castello® White with green pepper: 150 g | Svarta oliver: 1 dl | Rödlök: ½ | Rucola: 60 g | Vit balsamvinäger: 1 msk | Olivolja: 3 msk | Flytande honung: 1 tsk | Flingsalt:  | Svartpeppar: ,"Skala melonen. Skär melon, stora jordgubbar och ost i bitar. Skala och skär löken i tunna klyftor., Lägg rucolan på ett fat. Fördela melon, jordgubbar, ost och lök på fatet. Strö över oliverna., Blanda vinäger, olivolja och honung och ringla över. Salta och peppra.",30 min,4,345 kcal,7 g,16 g,27 g
Bregottkakor,https://images.arla.com/recordid/4786748D-36ED-43B7-92EF78E444CA53A2/bregottkakor.jpg?width=375&height=265&mode=crop&format=jpg,God och lättbakad småkaka med spröd konsistens.,Fika,Bregott® Normalsaltat smör & raps: 300 g | Strösocker: 1½ dl | Majsstärkelse: 2½ dl | Vetemjöl: 3½ dl | Bakpulver: 1 tsk,"Sätt ugnen på 200° eller 180° varmluft., Vispa Bregott och socker poröst. Blanda ner övriga ingredienser., Ställ ut små bakformar på en plåt och klicka i smeten. Grädda i nedre delen av ugnen ca 20 min., Låt svalna på plåten.",30 min,4,78 kcal,0 g,8 g,5 g
Indisk lammgryta med kardemumma,https://images.arla.com/recordid/C7C727CA-D352-431F-9E892D768EF7F35C/indisk-lammgryta-med-kardemumma.jpg?width=375&height=265&mode=crop&format=jpg,En härligt doftande och kryddig lammgryta att värma sig med. Perfekt som söndagsmiddag!,"Huvudrätt, Lunch, Middag","Benfritt lammkött, t ex bog: 600 g | Gula lökar: 2 | Arla Köket® Smör- & rapsolja: 2 msk | Konserverade hela tomater: 1 burk | Arla Köket® Turkisk yoghurt: 2 dl | Salt: 1 tsk | Pressade vitlöksklyftor: 2 | Krossade kardemummakärnor: 1 tsk | Riven färsk ingefära: 1 msk | Sambal oelek: 1 tsk","Skär köttet i bitar. Rör ihop ingredienserna till marinaden och blanda med köttet. Marinera minst 1 tim., Skala och hacka löken. Fräs den mjuk i smör-&rapsolja i en gryta., Tillsätt köttet, marinaden och tomaterna med spad. Låt grytan sjuda ca 1 tim., Servera med en klick yoghurt, sallad och kokt ris, gärna blandat med kokta kikärter.",2 tim 30 min,4,335 kcal,33 g,7 g,19 g
Mjölkdrink med smak av dulce de leche,"https://images.arla.com/recordid/6EF1A7F3-F887-4602-B7ED4CFD9F3A8330/mjolkdrink-med-smak-av-dulce-de-leche.jpg?width=375&height=265&mode=crop&crop=(278,0,0,0)&format=jpg","Markus Westh, finalist i Årets Kock 2015, har skapat en härligt sötsalt och krämig mjölkdrink med smak av ljuvlig dulce de leche.","Brunch, Buffé, Frukost, Mellanmål",Arla Ko® Standardmjölk: 8 dl | Karamelliserad mjölk: 1 dl | Salt: 1 krm,"Blanda alla ingredienser och mixa slätt., Servera i glas med mycket is.",10 min,4,720 kcal,34 g,104 g,19 g
Panerad torsk,"https://images.arla.com/recordid/74B7C781-9292-43D5-AC0C3AC3221387A5/panerad-torsk.jpg?width=375&height=265&mode=crop&crop=(187,0,-91,0)&format=jpg","Att panera sin egen fisk är inga konstigheter. Fisken ska först vändas i vetemjöl, sedan i uppvispat ägg och slutligen i panko eller ströbröd. Välj om du vill skära fisken i fiskpinnestorlek eller i portionsbitar. Den blir lika god hur du än väljer att göra!","Huvudrätt, Middag, Varmrätt",Torskrygg: 500 g | Vetemjöl: 1 dl | Salt: 1 tsk | Ägg: 1 | Panko: 2 dl | Arla Köket® Smör- & rapsolja: 3 msk,"Skär fisken i portionsbitar. Torka av dem med hushållspapper., Blanda mjöl och salt på en tallrik. Vispa upp ägget i en djup tallrik och häll panko på en tredje tallrik., Doppa fisken först i mjölet, sedan i ägget och sist i pankon. Stek i smör-&rapsolja på medelvärme 2-4 min på varje sida, beroende på hur tjock fisken är., Servera gärna nystekt panerad torsk med kokt potatis och tartarsås.",40 min,4,294 kcal,27 g,26 g,9 g
